City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,waipawa,-41.4122,175.5153,19.24,61,17,1.27,NZ,1675829860
217,haines junction,60.7522,-137.5108,-4.03,80,35,1.54,CA,1675829807
218,shahrud,36.4182,54.9763,3.33,61,45,2.75,IR,1675830024
219,provideniya,64.3833,-173.3,-19.94,71,100,3.0,RU,1675829632
220,clyde river,70.4692,-68.5914,-35.87,68,0,2.06,CA,1675829824
221,podporozhye,60.9112,34.1706,-3.53,94,100,4.12,RU,1675830025
222,sioux lookout,50.1001,-91.917,-7.96,73,20,3.6,CA,1675830025
223,mar del plata,-38.0023,-57.5575,23.38,94,5,7.15,AR,1675829740
224,monrovia,6.3005,-10.7969,23.87,90,98,2.31,LR,1675829658
225,rafaela,-31.2503,-61.4867,27.77,33,0,0.45,AR,1675830026
226,grindavik,63.8424,-22.4338,-3.03,93,100,13.38,IS,1675829895
227,kuryk,43.2,51.65,3.76,79,95,3.75,KZ,1675830026
228,marsabit,2.3284,37.9899,18.86,46,15,5.17,KE,1675830027
229,lasa,46.6166,10.7002,-5.54,79,34,0.53,IT,1675829766
230,chuy,-33.6971,-53.4616,20.37,84,14,2.78,UY,1675829476
231,richards bay,-28.783,32.0377,22.65,94,33,3.5,ZA,1675830027
232,yavaros,26.7,-109.5167,14.14,53,0,7.36,MX,1675830027
233,charlottetown,46.2352,-63.1267,-8.84,83,0,3.09,CA,1675829813
234,pacific grove,36.6177,-121.9166,10.37,88,0,2.57,US,1675829426
235,hilo,19.7297,-155.09,24.04,91,100,3.09,US,1675829495
236,karangampel,-6.4622,108.4519,27.09,78,97,3.69,ID,1675830028
237,souillac,-20.5167,57.5167,27.21,78,40,5.14,MU,1675830029
238,kruisfontein,-34.0033,24.7314,18.27,82,99,1.64,ZA,1675829617
239,lebu,-37.6167,-73.65,14.8,88,0,7.74,CL,1675830029
240,krasnoselkup,65.7,82.4667,-32.15,100,99,1.77,RU,1675829629
241,milos,36.75,24.4333,6.55,57,100,13.37,GR,1675830030
242,khatanga,71.9667,102.5,-43.9,100,63,1.4,RU,1675829743
243,carauari,-4.8828,-66.8958,22.85,99,96,0.71,BR,1675830030
244,praia da vitoria,38.7333,-27.0667,13.14,71,100,5.44,PT,1675830031
245,aban,56.67,96.06,-6.35,93,100,2.7,RU,1675830031
246,atar,20.5169,-13.0499,14.64,29,14,4.92,MR,1675830032
247,felipe carrillo puerto,19.5833,-88.05,22.3,90,2,1.94,MX,1675830032
248,oranjemund,-28.55,16.4333,17.4,90,99,5.97,NA,1675830033
249,zyryanka,65.75,150.85,-32.2,91,100,1.87,RU,1675829881
250,lakes entrance,-37.8811,147.981,20.09,63,31,4.58,AU,1675830033
251,labuhan,-6.8844,112.2051,25.55,87,100,2.96,ID,1675829870
252,nyurba,63.2842,118.3319,-32.54,94,100,0.44,RU,1675829803
253,yacuiba,-22.038,-63.6797,20.59,88,47,1.71,BO,1675830169
254,port augusta,-32.5,137.7667,35.66,13,0,5.85,AU,1675830034
255,tabou,4.423,-7.3528,25.84,86,100,2.83,CI,1675830034
256,pevek,69.7008,170.3133,-30.35,97,100,1.64,RU,1675829721
257,poyarkovo,49.6,128.6833,-19.26,92,100,1.33,RU,1675830035
258,marystown,47.1666,-55.1483,-3.61,75,100,10.32,CA,1675830036
259,hasaki,35.7333,140.8333,11.22,70,100,9.41,JP,1675829616
260,skagen,57.7209,10.5839,5.4,91,100,7.24,DK,1675830037
261,husavik,66.0449,-17.3389,-4.83,73,87,7.83,IS,1675829810
